2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=588324
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=589512
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=590357
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=591289
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=600165
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=625820
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=642020
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=642649
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=655336
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=656103
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=656544
2024/01/11 16:14:16.685 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=657050
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=659984
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=685075
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=717999
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=718885
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=742718
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=777220
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=797805
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=798472
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=798833
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=799404
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=800255
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=800749
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=801382
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=803430
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=803938
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=804286
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=806722
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=810386
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=811088
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=811558
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=812201
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=813016
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=814175
2024/01/11 16:14:16.686 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=815120
